0001,WORKERS,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0002,ASSOCIATES,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0003,MANAGERS,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0004,HRS,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0005,DIRECTORS,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0006,ADMINS,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0007,SECURITY,01/01/2014 00:00:00,12/31/2014 00:00:00,00012345
0005,DIRECTORS,09/01/2013 00:00:00,12/31/2013 00:00:00,00012345
0006,ADMINS,09/01/2013 00:00:00,12/31/2013 00:00:00,00012345
0001,WORKERS,06/01/2013 00:00:00,12/31/2013 00:00:00,00012345
0002,ASSOCIATES,06/01/2013 00:00:00,12/31/2016 00:00:00,00012347
0003,MANAGERS,06/01/2013 00:00:00,12/31/2016 00:00:00,00012347
0004,HRS,06/01/2013 00:00:00,12/31/2016 00:00:00,00012347
0005,DIRECTORS,06/01/2013 00:00:00,12/31/2016 00:00:00,00012347
0006,ADMINS,06/01/2013 00:00:00,12/31/2016 00:00:00,00012347
0007,SECURITY,06/01/2013 00:00:00,12/31/2013 00:00:00,00012345
0001,WORKERS,12/01/2012 00:00:00,12/31/2014 00:00:00,00012349
0002,ASSOCIATES,12/01/2012 00:00:00,12/31/2014 00:00:00,00012349
0003,MANAGERS,12/01/2012 00:00:00,12/31/2014 00:00:00,00012349
0004,HRS,12/01/2012 00:00:00,12/31/2014 00:00:00,00012349
0005,DIRECTORS,12/01/2012 00:00:00,12/31/2012 00:00:00,00012349
0006,ADMINS,12/01/2012 00:00:00,12/31/2014 00:00:00,00012349
0007,SECURITY,12/01/2012 00:00:00,12/31/2014 00:00:00,00012349
0004,HRS,09/01/2012 00:00:00,12/31/2012 00:00:00,00012349
0001,WORKERS,03/01/2012 00:00:00,12/31/2017 00:00:00,00012352
0002,ASSOCIATES,03/01/2012 00:00:00,12/31/2017 00:00:00,00012352
0003,MANAGERS,03/01/2012 00:00:00,12/31/2017 00:00:00,00012352
0004,HRS,03/01/2012 00:00:00,12/31/2017 00:00:00,00012352
0005,DIRECTORS,03/01/2012 00:00:00,12/31/2011 00:00:00,00012352
0006,ADMINS,03/01/2012 00:00:00,12/31/2017 00:00:00,00012352
0007,SECURITY,03/01/2012 00:00:00,12/31/2017 00:00:00,00012352
